company_name,stars,text,review_date,category,is_spam,spam_reasons,word_count,char_count
Apex Medical Centre Pte Ltd,2,,2024-11-20T11:26:36.496Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Apex Medical Centre Pte Ltd,5,,2023-02-03T05:45:44.532Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Apex Medical Centre Pte Ltd,5,,2022-05-20T08:33:37.247Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Apex Medical Centre Pte Ltd,1,Dr Ling是一位很棒的医生，不过他的员工服务态度很差，很没礼貌，如果不是Dr Ling医术高明，我不会去这间诊所。员工的态度需要培训。等她们拿药比看医生还久。,2022-03-18T08:36:58.485Z,healthcare,True,Too few words (3 < 10); Repetitive content,3,81
NTU Chinese Medicine Clinic,1,Unprofessional service from the counter staff. Will not return.,2025-08-23T12:55:47.242Z,healthcare,True,Too few words (9 < 10),9,63
NTU Chinese Medicine Clinic,5,非常好的一次中医体验，工作人员非常耐心，卢医师医术精湛，我的眼睛干针灸一次就有很大的改善，推荐想要体验中医治疗的朋友都可以来南大中医诊所,2025-06-17T09:56:52.656Z,healthcare,True,Too few words (1 < 10); Repetitive content,1,68
NTU Chinese Medicine Clinic,5,,2025-03-05T05:39:14.746Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
NTU Chinese Medicine Clinic,5,Good services,2025-03-05T05:38:54.131Z,healthcare,True,Too few words (2 < 10); Too few characters (13 < 50); Repetitive content,2,13
NTU Chinese Medicine Clinic,5,,2025-03-05T05:33:46.700Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
NTU Chinese Medicine Clinic,5,,2024-12-15T20:36:39.981Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
NTU Chinese Medicine Clinic,5,Jenny 对我母亲的帮助非常大，她协助安排医疗预约，并在需要时提供支持。她的善良、耐心和效率都让我的母亲倍加感动。我们非常感激她的全力以赴和始终如一的热心态度。谢谢你，Jenny，你对工作的热忱让我们敬佩！,2024-12-08T11:49:38.938Z,healthcare,True,Too few words (2 < 10); Repetitive content,2,104
NTU Chinese Medicine Clinic,5,Dr Steven Loh is skilful in treating my mother,2024-12-08T11:36:39.510Z,healthcare,True,Too few words (9 < 10); Too few characters (46 < 50),9,46
NTU Chinese Medicine Clinic,1,"See these comments on the front desk I am also deeply touched! The doctors here are fantastic! But the front desk staff, a Chinese named Lin, has a bad attitude! After the patient visited the doctor and waited for payment, she used vicious language to evaluate the famous doctor here, she said: ""The doctor always forgets to give the list, very tired of bothering her to get it every time!"" Ah, ah, ah, said a lot of unhappy look! I think: you do this job responsibility ah! If the front desk staff is only her alone, it is even more exaggerated, she will chat all kinds of, and then treat the needs of patients is all kinds of can not, anyway is can not!",2024-11-29T00:30:37.253Z,healthcare,True,Excessive punctuation,124,655
FGPC.Thanikan Vilai,5,Attoor,2019-01-05T02:33:54.333Z,healthcare,True,Too few words (1 < 10); Too few characters (6 < 50),1,6
Fullerton Dental,5,A great clinic. Can't complain.,2024-12-02T08:55:16.007Z,healthcare,True,Too few words (5 < 10); Too few characters (31 < 50),5,31
Fullerton Dental,1,,2022-08-25T07:25:05.037Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Dental,5,,2022-04-26T02:43:49.528Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Dental,1,Over charging and waiting for long hour,2022-02-11T07:31:12.018Z,healthcare,True,Too few words (7 < 10); Too few characters (39 < 50),7,39
Fullerton Dental,4,"Today I went back to Dr Mok for tooth cleaning. As usual, Dr Mok is professional and gentle. I knew her in Nov, 2020, when I went to have the wisdom tooth removed. There was an extreme pain due to the pressure induced from the wisdom tooth. I expressed my suffer to the young lady in the counter, after a short check, she decided to let me in during the Dr’s break time. After x-ray, Dr Mok discussed the condition of the two visible wisdom teeth with me. Then everything went through smoothly. Blood stopped hours later. Quick recovery (2~3 days) and no pain after removing one wisdom tooth. One week later, I went for a bite wing x-ray to check risk of cavities (one-time check valid for 3 years) and had normal tooth cleaning.
The service is excellent, though the price is a little high (even with student discount). But Dr Mok and her assistant can be trusted!",2021-08-18T10:14:40.719Z,healthcare,True,Promotional content detected,159,864
SAFTI MI Medical Centre,5,,2025-05-29T09:42:15.200Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
CKW HOUSE,5,Good house,2019-10-08T10:52:43.003Z,healthcare,True,Too few words (2 < 10); Too few characters (10 < 50),2,10
CKW HOUSE,3,,2019-04-05T01:02:43.394Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Civil Defence Academy Medical Centre,5,,2023-05-19T04:39:41.881Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,1,Good with boring for transport services 🚖🎠😷😇,2025-06-17T03:48:43.127Z,healthcare,True,Too few words (7 < 10); Too few characters (44 < 50),7,44
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,1,十分垃圾，人很多，需要在雨棚里面排队。十分炎热。幸亏我只是过来体检。如果我是过来看病，我会直接死掉。新加坡最垃圾的诊所。,2025-04-10T05:41:16.480Z,healthcare,True,Too few words (1 < 10); Repetitive content,1,60
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,5,,2025-04-09T09:47:44.520Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,5,Good,2025-03-09T04:10:14.472Z,healthcare,True,Too few words (1 < 10); Too few characters (4 < 50),1,4
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,2,Time management no good,2025-03-06T05:44:46.977Z,healthcare,True,Too few words (4 < 10); Too few characters (23 < 50),4,23
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,5,,2025-03-02T07:19:46.944Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,2,,2025-03-02T01:51:26.798Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,5,very good,2025-02-24T05:04:40.045Z,healthcare,True,Too few words (2 < 10); Too few characters (9 < 50),2,9
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,5,,2025-01-09T23:56:14.178Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,1,,2024-10-04T05:18:56.498Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,1,this is warld thard class hospital....,2024-09-17T05:46:36.628Z,healthcare,True,Too few words (6 < 10); Too few characters (38 < 50),6,38
Fullerton Health Medical Centre for Migrant Workers @ Gul Circle,5,Very good service,2024-09-15T22:20:54.272Z,healthcare,True,Too few words (3 < 10); Too few characters (17 < 50); Repetitive content,3,17
Fullerton Health,5,,2025-06-25T10:10:11.611Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health,5,,2025-06-19T04:56:15.982Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health,1,"无语 工作人员的态度让我非常失望, 有一位负责我体检报告的工作人员打电话给我，一直打断我说话，还不断重复同样的话，完全不给我解释的机会。当我还在听她讲话时，她却开始提高音量，一遍又一遍地说同样的内容，语气让人感觉很不耐烦。
她问了我一些几个月前的检测相关的问题，我一时记不起来，需要点时间回想，她却像是急着要答案一样，完全不给缓冲的空间。整个对话过程让我感到非常不舒服，沟通体验极差。",2025-06-19T01:27:46.844Z,healthcare,True,Too few words (4 < 10),4,192
Fullerton Health,4,,2025-06-11T10:19:51.636Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health,5,Nabiha and uma are very nice! Thank you so much!,2025-06-02T01:36:32.223Z,healthcare,True,Too few characters (48 < 50),10,48
Fullerton Health,5,,2025-05-08T08:53:54.966Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
Fullerton Health,5,Treatroom nurses are very nice!,2025-05-08T08:33:29.498Z,healthcare,True,Too few words (5 < 10); Too few characters (31 < 50),5,31
Fullerton Health,5,Thank you for jabbing me !!!!! 😋😋😋,2025-05-08T08:08:56.488Z,healthcare,True,Too few words (7 < 10); Too few characters (34 < 50),7,34
University Health Service,1,,2024-10-16T05:14:17.221Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
University Health Service,1,非常差的体验，混乱，等待非常久，医生草草了事，建议直接去外头医院。非常想骂人,2024-05-06T03:24:39.235Z,healthcare,True,Too few words (1 < 10); Too few characters (38 < 50); Repetitive content,1,38
University Health Service,4,,2024-01-25T23:37:51.573Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
University Health Service,2,,2024-01-16T04:42:33.851Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
University Health Service,5,LiLian阿姨人非常亲切 感谢！,2023-04-18T09:27:43.523Z,healthcare,True,Too few words (2 < 10); Too few characters (17 < 50); Repetitive content,2,17
University Health Service,3,Ok,2022-06-16T01:57:45.349Z,healthcare,True,Too few words (1 < 10); Too few characters (2 < 50),1,2
University Health Service,1,,2022-02-09T04:32:52.672Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
University Health Service,1,Extremely bad!!! Especially the Indian nurse! We pay to get medical examination but she is rude and act like her lost her parents because of us. Why people like this can work here?? Hope she gets fired soon!!!,2022-01-12T11:14:44.911Z,healthcare,True,Excessive punctuation,38,209
University Health Service,1,,2020-08-12T06:21:58.284Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
National Cancer Centre Singapore,1,"Sent my mom for her mammogram and as a caregiver we are to wait and seat at the registration lobby. My mom has always has a tialbone pain as she is skinny, she complained that the sofa seat was not comfortable but i shrugged it off. But after sitting on the sofa seat while waiting for her to finish her procedure, now i know what she meant!  THE SOFA SEAT AT THE REGISTRATION LOBBY WAS LIKE SITTING ON A ROCK! ASTHETICALLY NICE BUT COMFORT IS 0!!!!
NCCS PLEASE DO CHANGE THE SEAT TO A MORE COMFORTABLE SEAT FOR YOUR PATIENTS AND THEIR CAREGIVER",2025-08-15T07:28:01.495Z,healthcare,True,Excessive punctuation,103,545
National Cancer Centre Singapore,1,"Don’t tell people to put wheelchair outside hallway for public use when they still need it. You know how hard it is to find another in the other floors beside entrance? If the patients need the wheelchair they would’ve got the chair before they entered.

I visited the hospital with my grandma today and when she went in for her treatment, I waited for her outside and decided to wheel the empty wheelchair to an area with seat.

An older nurse stop me and ask that I placed the wheel chair outside. I said my grandma still wants to use the wheel chair as she’ll only be inside for a short while, but she still insisted I put it outside so everyone can use.

Can you for the love of god use your head and understand the reason why it’s a dumb idea to ask patient to put wheel chair outside the hallway? There is literally no wheelchair outside especially when there is a lot of visitors. Why do you think all of us are bringing the wheelchair with us whenever we go?

If I put it outside “for someone to use” and they take the wheel chair, I need to go all the way to the ground floor because that’s the only place I know where to get wheel chair. If my grandmother alone came here, she put out then how? Can’t find the wheel chair and ask her go all the way first floor to get?? If my grandfather came instead, he need go all the way to the first floor. You only want young people to accompany patient is it?

Trouble another nurse to get wheelchair all the way from first floor? I’m sure they don’t exactly know where to find wheel chairs either in the other floor. It’s near impossible because I also had to find wheelchair in the other floor before.

You know I’m honestly applaud and offended, like if this was my grandmother I don’t think she even knows where to find the wheel chair after she put outside. And is it even necessary to tell us this? If you have limited wheelchairs I understand, but I visited the hospital and there are numerous wheelchairs outside the entrance ground floor. It comes off as a little too insensitive and stuck up. Also why am I the only one who was told this?? She never even tell the other older visitors who are accompanying the patient. When my mother came to me she immediately stop what she said and left?? Just because I’m a young person doesn’t mean I won’t put up a bad review or complaint.",2025-07-08T09:30:50.875Z,healthcare,True,Excessive punctuation,442,2337
National Cancer Centre Singapore,5,,2025-06-19T09:50:35.285Z,healthcare,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
